"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1990",-1.4816464287991,2,1.48121645796064,6,-2.91425120772947,1990,368,368
"1990",-1.4731902131551,2,1.48121645796064,6,-2.91425120772947,1990,368,368
"1990",-0.449988120231286,3,2.22182468694097,8,-0.914251207729469,1990,360,360
"1990",-0.335829209037307,1,0.740608228980322,9,0.0857487922705307,1990,181,181
"1990",-0.906623765007204,2,1.48121645796064,6,-2.91425120772947,1990,310,310
"1990",-0.120195710115345,0,0,14,5.08574879227053,1990,241,241
"1990",0.0447004949426253,0,0,14,5.08574879227053,1990,241,241
"1990",-0.20475786655533,3,2.22182468694097,8,-0.914251207729469,1990,190,190
"1990",-0.082142739717352,3,2.22182468694097,8,-0.914251207729469,1990,190,190
"1990",0.581670188336529,0,0,12,3.08574879227053,1990,84,84
"1990",-0.889711333719207,0,0,9,0.0857487922705307,1990,212,212
"1990",-0.082142739717352,3,2.22182468694097,12,3.08574879227053,1990,35,35
"1990",0.277246425152584,3,2.22182468694097,12,3.08574879227053,1990,35,35
"1990",0.192684268712599,2,1.48121645796064,11,2.08574879227053,1990,256,256
"1990",1.79936524107231,0,0,11,2.08574879227053,1990,334,334
"1990",2.03613927910427,0,0,11,2.08574879227053,1990,334,334
"1990",-0.382338395079298,1,0.740608228980322,7,-1.91425120772947,1990,246,246
"1990",-0.500725414095277,0,0,7,-1.91425120772947,1990,281,281
"1990",-0.411935149833293,0,0,7,-1.91425120772947,1990,281,281
"1990",-1.56620858523909,0,0,6,-2.91425120772947,1990,295,295
"1990",-0.441531904587288,0,0,7,-1.91425120772947,1990,206,206
"1990",-0.509181629739275,0,0,7,-1.91425120772947,1990,206,206
"1990",-1.03769510748918,0,0,7,-1.91425120772947,1990,374,374
"1991",0.454826953676552,2,1.48121645796064,10,1.08574879227053,1991,359,359
"1991",0.0531567105866238,2,1.48121645796064,10,1.08574879227053,1991,359,359
"1991",-0.242810836953323,7,5.18425760286225,7,-1.91425120772947,1991,282,282
"1991",-0.543006492315269,7,5.18425760286225,7,-1.91425120772947,1991,282,282
"1991",0.416773983278559,1,0.740608228980322,8,-0.914251207729469,1991,376,376
"1991",2.26022899367023,0,0,12,3.08574879227053,1991,239,239
"1991",1.52876634046436,0,0,12,3.08574879227053,1991,239,239
"1991",0.814216118546488,4,2.96243291592129,8,-0.914251207729469,1991,325,325
"1991",0.535161002294537,4,2.96243291592129,8,-0.914251207729469,1991,325,325
"1991",-0.712130805195239,0,0,6,-2.91425120772947,1991,244,244
